Subject,Grade,Super Category,Category Code,Category Name,Skill Code,Permacode,Skill ID,Skill Name,Question Preview URL,URL
Maths,Reception,,C,Count to 10,C.8,M86,2020056915,Count cubes - up to 10,https://www.ixl.com/screenshot/085377bda0de6a681862da9a567275998182482c.png,https://uk.ixl.com/maths/reception/count-cubes-up-to-10
Maths,Reception,,C,Count to 10,C,M86,2020056915,Count cubes - up to 10,https://www.ixl.com/screenshot/085377bda0de6a681862da9a567275998182482c.png,https://uk.ixl.com/maths/reception/count-cubes-up-to-10
Maths,Reception,,C,Count to 10,C.9,DTY,2020057015,Show numbers with cubes - up to 10,https://www.ixl.com/screenshot/ee78a8baea74f5bc959320cc454e1bbf46e1ff23.png,https://uk.ixl.com/maths/reception/show-numbers-with-cubes-up-to-10
Maths,Reception,,C,Count to 10,C.9,DTY,2020057015,Show numbers with cubes - up to 10,https://www.ixl.com/screenshot/ee78a8baea74f5bc959320cc454e1bbf46e1ff23.png,https://uk.ixl.com/maths/reception/show-numbers-with-cubes-up-to-10
Maths,Reception,,C,Count to 10,C,DTY,2020057015,Show numbers with cubes - up to 10,https://www.ixl.com/screenshot/ee78a8baea74f5bc959320cc454e1bbf46e1ff23.png,https://uk.ixl.com/maths/reception/show-numbers-with-cubes-up-to-10
Maths,Reception,,C,Count to 10,C.10,A8K,2020007369,Count on ten frames - up to 10,https://www.ixl.com/screenshot/b1b5cf84835bad8c59b206662b7bff11e28b871c.png,https://uk.ixl.com/maths/reception/count-on-ten-frames-up-to-10
Maths,Reception,,C,Count to 10,C.10,A8K,2020007369,Count on ten frames - up to 10,https://www.ixl.com/screenshot/b1b5cf84835bad8c59b206662b7bff11e28b871c.png,https://uk.ixl.com/maths/reception/count-on-ten-frames-up-to-10
Maths,Reception,,C,Count to 10,C,A8K,2020007369,Count on ten frames - up to 10,https://www.ixl.com/screenshot/b1b5cf84835bad8c59b206662b7bff11e28b871c.png,https://uk.ixl.com/maths/reception/count-on-ten-frames-up-to-10
Maths,Reception,,C,Count to 10,C.11,M2U,2020006865,Show numbers on ten frames - up to 10,https://www.ixl.com/screenshot/fd78ad6ac716afbd4a0f50aa7c9bab41d9029d3a.png,https://uk.ixl.com/maths/reception/show-numbers-on-ten-frames-up-to-10
Maths,Reception,,C,Count to 10,C.11,M2U,2020006865,Show numbers on ten frames - up to 10,https://www.ixl.com/screenshot/fd78ad6ac716afbd4a0f50aa7c9bab41d9029d3a.png,https://uk.ixl.com/maths/reception/show-numbers-on-ten-frames-up-to-10
Maths,Reception,,C,Count to 10,C,M2U,2020006865,Show numbers on ten frames - up to 10,https://www.ixl.com/screenshot/fd78ad6ac716afbd4a0f50aa7c9bab41d9029d3a.png,https://uk.ixl.com/maths/reception/show-numbers-on-ten-frames-up-to-10
